benefit_id,benefit_name,benefit_category,benefit_desc
BEN_TRV_001,机场贵宾厅服务,出行,全年60次全球100余间机场贵宾厅（含北京首都、上海浦东、深圳宝安等），每次标准服务2小时，可免费携带1人（扣减1次）
BEN_TRV_002,接送机服务,出行,每年12次豪华商务车接送机服务，覆盖全国主要城市，提前24小时预约
BEN_TRV_003,300精选酒店贵宾价入住,出行,每年6次以贵宾价入住全国300余家精选高端酒店，含行政楼层升级
BEN_TRV_004,航班延误险,出行,航班延误3小时以上赔付最高2000元（经典白），延误2小时赔付最高4000元（钻石/百夫长），无需提供发票
BEN_TRV_005,境外租车优惠,出行,Hertz/AVIS等国际租车公司最高7折优惠，含免费额外驾驶员注册
BEN_TRV_006,高铁贵宾厅,出行,全国主要高铁站贵宾厅服务（800积分/次），部分车站含快速安检通道
BEN_TRV_007,行李延误险,出行,行李延误6小时以上赔付最高3000元，含必要生活用品采购报销
BEN_TRV_008,旅行意外险,出行,保额500万元旅行意外险（钻石卡1000万），含高风险运动保障及医疗运送
BEN_TRV_009,境外紧急救援,出行,24小时全球紧急救援服务，含医疗转运、法律援助和紧急翻译
BEN_TRV_010,境外取现免手续费,出行,境外ATM取现每月前3笔免手续费，适用于银联/VISA/MasterCard标识ATM
BEN_TRV_011,货币兑换优惠,出行,XX银行合作网点外币现钞兑换享汇率优惠，免兑换手续费
BEN_TRV_012,五星酒店自助餐买一赠一,出行,指定五星级酒店自助餐厅两人同行一人免单，每卡每年限享4次
BEN_TRV_013,全球WiFi租赁优惠,出行,境外WiFi租赁首日1元起，覆盖全球100+国家和地区，每卡每年限享2次
BEN_TRV_014,境外博物馆门票,出行,万事达世界卡专属——每年2张境外知名博物馆免费门票
BEN_TRV_015,机票返现,出行,万事达世界卡专属——境内2次（最高900元/次）+境外2次（最高900元/次）机票返现
BEN_TRV_016,儿童经济舱机票,出行,钻石卡专属——每年4张境内儿童经济舱机票（亲子出行定位）
BEN_TRV_017,PP卡PriorityPass,出行,百夫长白金卡无限次Priority Pass全球机场贵宾厅，含运通百夫长休息室
BEN_PTS_001,生日10倍积分,积分,生日当天消费享10倍积分（经典白/百夫长白），封顶赠送10000奖励积分
BEN_PTS_002,积分兑里程,积分,航空里程兑换比例1500积分=2000里程（国航/东航），年上限5万里程
BEN_PTS_003,积分兑年费,积分,经典版白金卡可用10000永久积分兑换3600元年费（芯片版需年消费满18万）
BEN_PTS_004,积分兑酒店积分,积分,百夫长白金卡积分可兑换万豪积分(3000:6000)和希尔顿积分(1000:2000)
BEN_PTS_005,线上支付积分加速,积分,支付宝/微信支付消费享1.5倍积分，加速积分累积速度
BEN_PTS_006,积分兑换文娱会员,积分,积分可兑换腾讯视频/爱奇艺/优酷/B站等视频会员月卡/季卡/年卡
BEN_PTS_007,积分兑换膨胀,积分,特定品类积分兑换享1.2倍价值膨胀，如星巴克饮品券、必胜客代金券等
BEN_PTS_008,积分抵现,积分,掌上生活APP内商城/饭票等场景可用积分直接抵扣现金，比例约500:1
BEN_LIF_001,周三5折饭票,生活,每周三合作大牌餐饮（海底捞/西贝/星巴克/喜茶等）5折代金券限量抢购
BEN_LIF_002,9元观影,生活,指定影院周五/周末电影票9元起，含IMAX/杜比厅，每月限享2次
BEN_LIF_003,咖啡权益,生活,星巴克每周五买一赠一，瑞幸咖啡每日首杯半价
BEN_LIF_004,视频会员月月领,生活,腾讯视频/优酷/爱奇艺VIP月卡三选一，有效期6个月，每月领取1次
BEN_LIF_005,音乐会员优惠,生活,QQ音乐/网易云音乐/Spotify年度会员7折，积分可全额兑换
BEN_LIF_006,健身会员优惠,生活,超级猩猩/乐刻运动/Keep线下店会员8折，新用户首月半价
BEN_LIF_007,鲜花订阅优惠,生活,花点时间/花加/野兽派等鲜花订阅月度首单半价，每周一限时
BEN_LIF_008,图书知识付费优惠,生活,得到/樊登读书/知乎盐选年度会员7折，部分免费试听
BEN_LIF_009,亲子教育折扣,生活,英孚教育/新东方/少年得到等教育机构专属8折，部分课程积分兑换
BEN_LIF_010,宠物服务优惠,生活,合作宠物医院诊疗8折，宠物用品商城9折，新瑞鹏/瑞鹏等连锁适用
BEN_LIF_011,家政服务优惠,生活,自如保洁/好慷在家/天鹅到家等家政服务首单立减50元
BEN_LIF_012,超市购物返现,生活,永辉/沃尔玛/盒马鲜生每周五返现5%，月上限100元
BEN_LIF_013,外卖优惠,生活,美团外卖/饿了么每日首单立减最高15元，每周三额外红包
BEN_LIF_014,网红茶饮满减,生活,喜茶/奈雪的茶/霸王茶姬满30减10，每日限享一次
BEN_SPD_001,Apple Pay笔笔1%返现,消费,通过Apple Pay使用招行信用卡消费享1%返现，境内单笔最高10元/月上限100元，境外单笔最高50元/月上限200元
BEN_SPD_002,境外消费返现,消费,境外线下消费返现5%，月上限500元人民币，需在掌上生活APP报名参与
BEN_SPD_003,指定电商返现,消费,天猫/京东/拼多多大促期间最高返现10%，日常消费随机立减最高99元
BEN_SPD_004,云闪付支付优惠,消费,云闪付APP支付满50减10，每日限享一次，名额有限先到先得
BEN_SPD_005,大牌购物折扣,消费,SKP/万象城/太古里等高端商场会员资格匹配及专属折扣
BEN_SPD_006,免税店优惠,消费,DFS/Sunrise免税店额外95折+双倍积分，合作免税店满额赠礼
BEN_SPD_007,海淘返利,消费,Amazon/Shopbop/Farfetch等海淘网站返利最高8%，叠加免货币转换费
BEN_SPD_008,数码产品免息分期,消费,Apple/华为官方商城12期免息分期，部分新品首发24期免息
BEN_SPD_009,家电以旧换新补贴,消费,苏宁/京东家电以旧换新额外补贴，刷招行信用卡再享分期免息
BEN_SPD_010,加油优惠,消费,中石油/中石化/壳牌加油站周五满200减30，每月限享2次
BEN_SPD_011,充电桩优惠,消费,特来电/星星充电等主要充电桩服务费8折，每周五额外立减
BEN_SPD_012,消费达标礼,消费,月消费满5000元赠送星巴克中杯券1张，满10000元赠2张
BEN_INS_001,3期免息分期,分期,指定商户单笔满500元享3期免息分期，覆盖餐饮/购物/出行等
BEN_INS_002,6期免息分期,分期,指定商户单笔满1000元享6期免息分期，大促期间适用商户扩增
BEN_INS_003,12期免息分期,分期,指定大额消费（家电/数码/教育/医疗）享12期免息分期
BEN_INS_004,24期教育分期,分期,指定教育机构（新东方/好未来/中公教育等）专享24期免息分期
BEN_INS_005,账单分期优惠费率,分期,首笔账单分期享手续费5折优惠，次笔起享8折优惠
BEN_INS_006,现金分期优惠,分期,现金分期利率最低0.35%/月，优质客户享专属利率优惠
BEN_INS_007,专项分期额度,分期,额外授予专项分期额度（最高为信用额度的2倍），独立于消费额度
BEN_INS_008,大额消费自动分期提醒,分期,单笔消费超5000元自动触发分期提醒并享优惠费率
BEN_INS_009,医疗分期,分期,牙科/眼科/医美等指定医疗机构12期免息，合作机构覆盖全国
BEN_INS_010,旅行分期,分期,携程/飞猪/同程旅行单笔满2000元享6期免息分期
BEN_HTH_001,健康体检,健康,每年1次高端体检套餐（含肿瘤标志物筛查），合作机构为美年大健康/爱康国宾，7000积分可兑换
BEN_HTH_002,口腔护理,健康,每年1次洁牙+口腔检查服务（3000积分可兑换），合作机构为瑞尔齿科/通策医疗
BEN_HTH_003,儿童口腔涂氟,健康,钻石卡专属——每年2次儿童口腔涂氟服务
BEN_HTH_004,高尔夫练习场,健康,每年12次全国合作高尔夫练习场畅打，含练习球和球杆租赁
BEN_HTH_005,齿科保险特惠,健康,瑞尔齿科/泰康拜博等齿科机构种植/正畸项目8折，含免费检查方案
BEN_INSR_001,航班延误险（高额版）,保险,延误2小时赔付1000元，4小时赔付2000元（钻石/百夫长升级为4000元），无需发票
BEN_INSR_002,购物保障险,保险,刷卡购物30天内商品因意外损坏或被盗，最高赔付2万元/件
BEN_INSR_003,盗刷险,保险,信用卡被盗刷72小时内全额赔付，含线上/线下所有交易渠道
BEN_INSR_004,租车保险,保险,境外租车含CDW碰撞损失险和LDW盗抢险，无需额外购买
BEN_INSR_005,高额旅行意外险,保险,保额500万-1000万旅行意外险，含高风险运动保障和医疗运送/送返
BEN_INSR_006,法律援助服务,保险,免费法律咨询及律师推荐服务，含合同审核和纠纷调解
BEN_INSR_007,高尔夫一杆进洞险,保险,高尔夫一杆进洞庆祝费用赔付，限额2万元/次
BEN_NEW_001,新户开卡礼三选一,新户,新户达标（核发后次2个自然月内任意消费满36元）可选：1000积分/笔笔返现资格/实物礼品(拉杆箱/保温杯/煎炒锅等)
BEN_NEW_002,推荐办卡礼,新户,邀请好友办卡达标各得50元还款金，累计推荐满5人额外赠扫地机器人/海量积分
BEN_NEW_003,首刷礼,新户,首笔消费满99元赠招行定制礼品（经典保温杯/定制帆布袋/手机支架三选一）
BEN_NEW_004,绑卡礼,新户,首次绑定支付宝/微信支付/云闪付各赠10元红包，三端绑齐额外赠20元
BEN_NEW_005,新户首年笔笔返现,新户,新户首年每月享100次交易返现资格，单笔消费最高返99元
BEN_NEW_006,额度成长计划,新户,开卡后6个月按时全额还款可获得额度自动提升，最高翻倍
BEN_NEW_007,新户见面礼,新户,首月登录掌上生活APP领腾讯视频VIP月卡或星巴克中杯券
BEN_NEW_008,新户专享商城,新户,新户专享积分商城商品5折兑换，含数码/美妆/家居等品类
BEN_NEW_009,消费进阶礼,新户,首月消费满3000元额外赠5000积分，满8000元赠10000积分
BEN_NEW_010,校园毕业转卡礼,新户,校园卡用户毕业转标准卡享额度直升（+5000元起），赠50元刷卡金
BEN_PRM_001,FHR/THC高端酒店礼遇,高端专属,百夫长白金/钻石卡专属——Fine Hotels & Resorts及The Hotel Collection预订享免费双早、房型升级、延迟退房、100美元消费额度
