campaign_id,strategy_object_type,product_scope,product_id,primary_benefit_ids,benefit_category,benefit_unit_cost_proxy,objective,attribution_window_days,mapping_source
CAMP_2026_APPLEPAY,benefit,eligible_products,,BEN_SPD_001,消费,10,spend,14,rule_based_mock
CAMP_2026_DOUBLE11,installment,eligible_products,,BEN_INS_001|BEN_INS_002|BEN_INS_003,分期,180,conversion,14,rule_based_mock
CAMP_2026_SPRINGFEST,benefit,card_level_scope,,BEN_SPD_002,消费,120,spend,14,rule_based_mock
CAMP_2026_NEWUSER,activation,eligible_products,,BEN_NEW_001|BEN_NEW_005,新户,100,activation,14,rule_based_mock
CAMP_2026_DORMANT,activation,eligible_products,,BEN_NEW_009,新户,50,activation,14,rule_based_mock
CAMP_2026_SUMMER,benefit,card_level_scope,,BEN_TRV_003|BEN_TRV_015,出行,100,spend,14,rule_based_mock
CAMP_2026_UPGRADE,card_upgrade,card_level_scope,,BEN_TRV_001,出行,180,conversion,14,rule_based_mock
CAMP_2026_618,benefit,eligible_products,,BEN_SPD_003|BEN_INS_002,消费,80,spend,14,rule_based_mock
CAMP_2026_CAMPUS,card_upgrade,card_level_scope,,BEN_NEW_010,新户,80,activation,14,rule_based_mock
CAMP_2026_BIRTHDAY,benefit,eligible_products,,BEN_PTS_001|BEN_LIF_003,积分,30,retention,14,rule_based_mock
CAMP_2026_CROSSBORDER,benefit,eligible_products,,BEN_SPD_002|BEN_TRV_011,消费,150,spend,14,rule_based_mock
CAMP_2026_WEDDING5,benefit,eligible_products,,BEN_LIF_001,生活,35,spend,14,rule_based_mock
CAMP_2026_MOVIE9,benefit,eligible_products,,BEN_LIF_002,生活,25,spend,14,rule_based_mock
CAMP_2026_REFERRAL,activation,eligible_products,,BEN_NEW_002,新户,160,activation,14,rule_based_mock
CAMP_2026_AI_TOKEN,activation,eligible_products,,BEN_NEW_001,新户,80,activation,14,rule_based_mock
CAMP_2026_POINTS_BOOST,benefit,eligible_products,,BEN_PTS_005|BEN_PTS_007,积分,25,spend,14,rule_based_mock
CAMP_2026_GREEN,benefit,eligible_products,,BEN_SPD_011|BEN_PTS_005,消费,30,spend,14,rule_based_mock
CAMP_2026_WOMEN,benefit,eligible_products,,BEN_SPD_005|BEN_LIF_007,消费,70,spend,14,rule_based_mock
CAMP_2026_NYE,benefit,eligible_products,,BEN_PTS_007,积分,20,retention,14,rule_based_mock
CAMP_2026_SPRING_TRAVEL,benefit,card_level_scope,,BEN_TRV_003|BEN_TRV_015,出行,75,spend,14,rule_based_mock
CAMP_2026_BACK_SCHOOL,installment,eligible_products,,BEN_SPD_008|BEN_INS_003,消费,90,conversion,14,rule_based_mock
CAMP_2026_NATIONAL,benefit,card_level_scope,,BEN_TRV_004|BEN_TRV_015,出行,130,spend,14,rule_based_mock
CAMP_2026_CLOUD_FLASH,benefit,eligible_products,,BEN_SPD_004,消费,20,spend,14,rule_based_mock
CAMP_2026_FAMILY,benefit,card_level_scope,,BEN_LIF_009,生活,70,spend,14,rule_based_mock
CAMP_2026_SPORTS,benefit,eligible_products,,BEN_LIF_006,生活,60,spend,14,rule_based_mock
