cust_id,oneid,event_type,event_detail,event_time
C000001,UID000001,transaction,消费 1520元,2026-06-28T00:00:00+08:00
C000001,UID000001,browse,浏览分期计算器,2026-07-13T14:00:00+08:00
C000001,UID000001,campaign_click,点击双十一活动推送,2026-07-04T16:00:00+08:00
C000001,UID000001,service,客服咨询分期,2026-07-02T17:00:00+08:00
C000002,UID000002,transaction,消费 4747元,2026-07-15T05:00:00+08:00
C000002,UID000002,browse,浏览账单详情,2026-07-14T09:00:00+08:00
C000003,UID000003,search,搜索'分期费率',2026-07-07T03:00:00+08:00
C000003,UID000003,browse,浏览权益商城,2026-06-21T18:00:00+08:00
C000004,UID000004,campaign_click,点击双十一活动推送,2026-07-08T22:00:00+08:00
C000004,UID000004,browse,浏览账单详情,2026-07-16T10:00:00+08:00
C000004,UID000004,browse,浏览账单详情,2026-07-16T08:00:00+08:00
C000004,UID000004,campaign_click,点击暑期出行活动推送,2026-07-06T19:00:00+08:00
C000004,UID000004,browse,浏览境外消费专区,2026-07-03T09:00:00+08:00
C000005,UID000005,transaction,消费 4180元,2026-06-21T09:00:00+08:00
C000006,UID000006,service,额度调整申请,2026-07-02T05:00:00+08:00
C000006,UID000006,search,搜索'账单查询',2026-06-24T00:00:00+08:00
C000006,UID000006,transaction,消费 3732元,2026-07-16T04:00:00+08:00
C000007,UID000007,browse,浏览权益商城,2026-06-25T15:00:00+08:00
C000007,UID000007,browse,浏览分期计算器,2026-06-17T08:00:00+08:00
C000007,UID000007,browse,浏览权益商城,2026-07-06T02:00:00+08:00
C000007,UID000007,search,搜索'积分兑换',2026-07-01T19:00:00+08:00
C000008,UID000008,service,额度调整申请,2026-06-26T05:00:00+08:00
C000008,UID000008,transaction,消费 1176元,2026-06-17T01:00:00+08:00
C000009,UID000009,transaction,消费 1015元,2026-06-29T00:00:00+08:00
C000009,UID000009,campaign_click,点击双十一活动推送,2026-06-17T17:00:00+08:00
C000009,UID000009,search,搜索'分期费率',2026-07-05T21:00:00+08:00
C000009,UID000009,transaction,消费 2144元,2026-07-14T18:00:00+08:00
C000009,UID000009,search,搜索'优惠券',2026-07-03T18:00:00+08:00
C000010,UID000010,campaign_click,点击暑期出行活动推送,2026-07-16T22:00:00+08:00
C000010,UID000010,campaign_click,点击双十一活动推送,2026-07-15T13:00:00+08:00
C000010,UID000010,transaction,消费 3336元,2026-07-07T23:00:00+08:00
C000010,UID000010,browse,浏览境外消费专区,2026-07-14T22:00:00+08:00
C000011,UID000011,service,投诉反馈,2026-06-21T22:00:00+08:00
C000011,UID000011,search,搜索'汇率',2026-07-02T23:00:00+08:00
C000011,UID000011,service,额度调整申请,2026-07-08T07:00:00+08:00
C000012,UID000012,campaign_click,点击暑期出行活动推送,2026-07-03T08:00:00+08:00
C000012,UID000012,service,投诉反馈,2026-07-10T04:00:00+08:00
C000012,UID000012,search,搜索'优惠券',2026-07-11T16:00:00+08:00
C000012,UID000012,search,搜索'汇率',2026-07-02T01:00:00+08:00
C000013,UID000013,search,搜索'提额',2026-07-07T04:00:00+08:00
C000013,UID000013,campaign_click,点击双十一活动推送,2026-06-25T22:00:00+08:00
C000013,UID000013,campaign_click,点击双十一活动推送,2026-06-25T08:00:00+08:00
C000013,UID000013,campaign_click,点击双十一活动推送,2026-07-15T21:00:00+08:00
C000013,UID000013,browse,浏览境外消费专区,2026-06-20T14:00:00+08:00
C000014,UID000014,service,额度调整申请,2026-07-02T10:00:00+08:00
C000014,UID000014,search,搜索'出境游',2026-06-28T14:00:00+08:00
