campaign_id,campaign_name,start_date,end_date,target_segment,rules,budget,expected_reach,campaign_poster_path
CAMP_2026_APPLEPAY,Apple Pay笔笔1%返现,2025-07-01,2026-03-31,"{'age_range': [20, 55], 'card_level': ['普卡', '金卡', '白金卡', '钻石卡']}","{'境内返现': 0.01, '境内单笔上限': 10, '境内月上限': 100, '境外返现': 0.01, '境外单笔上限': 50, '境外月上限': 200, '报名渠道': '手机银行APP'}",8000000,500000,applepay_cashback.png
CAMP_2026_DOUBLE11,双十一分期免息大促,2026-11-01,2026-11-11,"{'age_range': [22, 45], 'card_level': ['金卡', '白金卡', '钻石卡'], 'income_level': ['M', 'H']}","{'分期期数': [3, 6, 12], '免息期数': 3, '适用商户': ['天猫', '京东', '拼多多'], '最低消费': 3000}",500000,200000,nov11_promo.png
CAMP_2026_SPRINGFEST,春节境外消费返现,2026-01-15,2026-02-15,"{'age_range': [25, 55], 'card_level': ['白金卡', '钻石卡', '无限卡'], 'income_level': ['H']}","{'境外消费返现': 0.08, '封顶': 800, '适用地区': ['港澳', '日韩', '东南亚', '欧美']}",800000,50000,spring_festival_promo.png
CAMP_2026_NEWUSER,新户开卡三重礼,2025-07-01,2026-12-31,{'lifecycle': ['新户']},"{'达标条件': '核发后次2个自然月内任意消费满36元', '礼遇': ['1000积分', '首年笔笔返现资格', '实物礼品(拉杆箱/保温杯/煎炒锅)']}",1500000,150000,new_user_welcome.png
CAMP_2026_DORMANT,沉睡客户唤醒计划,2026-04-16,2026-10-13,"{'lifecycle': ['沉睡期'], 'churn_risk_min': 50}","{'唤醒红包': 50, '条件': '30天内任意消费1笔', '额外奖励': '消费满500再赠5000积分'}",600000,80000,dormant_wakeup.png
CAMP_2026_SUMMER,暑期出行季,2026-07-01,2026-08-31,"{'age_range': [22, 45], 'card_level': ['金卡', '白金卡', '钻石卡']}","{'机票': '满1000减100', '酒店': '连住3晚8折', '境外WiFi': '首日1元'}",400000,150000,summer_travel.png
CAMP_2026_UPGRADE,金卡升级白金卡邀请,2026-05-16,2026-11-12,"{'card_level': ['金卡'], 'income_level': ['M', 'H'], 'age_range': [28, 50]}","{'升级礼': '首年年费5折', '额外权益': '赠送机场贵宾厅2次'}",200000,30000,upgrade_invite.png
CAMP_2026_618,618购物节返现,2026-06-01,2026-06-18,"{'age_range': [20, 40], 'card_level': ['普卡', '金卡', '白金卡']}","{'天猫/京东': '满500返50', '分期': '6期免息', '名额': '先到先得'}",300000,100000,618_shopping.png
CAMP_2026_CAMPUS,校园卡毕业季,2026-06-01,2026-07-31,"{'card_level': ['校园卡'], 'age_range': [21, 28]}","{'毕业转卡': '升级为标准金卡/YOUNG卡', '额外额度': 5000, '转卡礼': '50元刷卡金+5000积分'}",100000,20000,campus_graduation.png
CAMP_2026_BIRTHDAY,生日月专属福利,2025-07-01,2027-06-30,{'all': True},"{'双倍积分': '生日当月(标准卡)', '10倍积分': '生日当天(白金卡)', '星巴克': '生日当天免费中杯券'}",2000000,500000,birthday_benefit.png
CAMP_2026_CROSSBORDER,跨境消费达人,2026-06-15,2026-10-13,{'has_cross_border': True},"{'阶梯返现': '满5000返200, 满20000返1000', '额外': '免货币转换费'}",350000,25000,crossborder_campaign.png
CAMP_2026_WEDDING5,周三5折饭票,2025-07-01,2027-06-30,{'all': True},"{'活动时间': '每周三', '内容': '合作餐饮品牌5折代金券限量抢购', '品牌': ['海底捞', '西贝', '星巴克', '喜茶', '太二酸菜鱼']}",5000000,800000,wed_food.png
CAMP_2026_MOVIE9,9元观影,2025-07-01,2027-06-30,{'all': True},"{'活动时间': '每周五/周末', '票价': 9, '限制': '每月限享2次', '覆盖': '全国合作影院含IMAX/杜比厅'}",3000000,600000,movie9.png
CAMP_2026_REFERRAL,推荐办卡有礼,2026-04-01,2026-06-30,{'all': True},"{'推荐1-2人': '空气炸锅/千元拉杆箱/露营推车', '推荐3-4人': '高速吹风机/锅具套装', '推荐5人以上': '扫地机器人/海量积分', '额外': '每多推荐1人再得50元还款金(封顶500元)'}",800000,100000,referral.png
CAMP_2026_AI_TOKEN,AI算力权益新户礼,2025-12-01,2026-12-31,"{'education': ['大专', '本科', '硕士', '博士'], 'age_range': [20, 45]}","{'方案一': '1个月MiniMax Token Plan Max(18亿Token/月)', '方案二': '2个月MiniMax Token Plan Plus(6亿Token/月)', '方案三': '1个月MaxClaw基础版+1个月Token Plan Plus', '达标条件': '核发后任意消费满36元'}",500000,50000,ai_token.png
CAMP_2026_POINTS_BOOST,积分膨胀季,2026-09-01,2026-11-30,{'all': True},"{'积分加速': '指定品类1.5倍积分', '兑换膨胀': '积分商城1.2倍价值兑换', '生日月叠加': '生日月额外1倍'}",300000,200000,points_boost.png
CAMP_2026_GREEN,绿色消费计划,2026-03-01,2026-08-31,{'all': True},"{'新能源充电': '充电桩消费双倍积分', '公交地铁': '云闪付乘车码5折(月上限20元)', '共享单车': '哈啰/美团单车月卡8折'}",200000,100000,green_consumer.png
CAMP_2026_WOMEN,女性消费节,2026-03-01,2026-03-31,"{'gender': ['F'], 'age_range': [20, 45]}","{'美妆护肤': '丝芙兰/屈臣氏满300减50', '服饰': 'ZARA/优衣库满200减30', '鲜花': '花点时间/花加5折起'}",150000,80000,women_day.png
CAMP_2026_NYE,年终回馈盛典,2026-12-01,2026-12-31,{'all': True},"{'年度账单': '查看年度账单抽888积分', '积分兑换': '年底积分不清零提醒+限时兑换', '跨年优惠': '12月31日指定商户双倍积分'}",500000,400000,year_end.png
CAMP_2026_SPRING_TRAVEL,春季出行节,2026-03-15,2026-05-15,"{'age_range': [22, 50], 'card_level': ['金卡', '白金卡', '钻石卡']}","{'火车票': '12306购票满200减20', '酒店': '清明/五一期间精选酒店85折', '景区': '合作景区门票8折'}",250000,120000,spring_travel.png
CAMP_2026_BACK_SCHOOL,开学季特惠,2026-08-15,2026-09-30,"{'age_range': [18, 28], 'card_level': ['校园卡', '普卡', '金卡']}","{'数码': 'Apple/华为教育优惠+12期免息', '文具书籍': '当当/京东图书满100减30', '餐饮': '校园周边商户8折'}",150000,60000,back_school.png
CAMP_2026_NATIONAL,国庆黄金周出行保障,2026-09-25,2026-10-10,"{'age_range': [22, 55], 'card_level': ['金卡', '白金卡', '钻石卡', '无限卡']}","{'机票': '国际航线满3000减300', '酒店': '连住5晚8折+延迟退房', '旅行险': '活动期间自动升级旅行险保额至1.5倍'}",600000,180000,national_day.png
CAMP_2026_CLOUD_FLASH,云闪付专属优惠,2026-07-01,2026-09-30,{'all': True},"{'每日': '云闪付APP支付满50减10(日限1次)', '周末': '云闪付乘车码5折(月上限20元)', '新户': '首次绑定云闪付赠15元红包'}",200000,300000,cloud_flash.png
CAMP_2026_FAMILY,亲子家庭日,2026-05-15,2026-08-15,"{'age_range': [28, 45], 'card_level': ['金卡', '白金卡', '钻石卡']}","{'亲子餐厅': '合作亲子餐厅8折', '游乐园': '迪士尼/环球影城/欢乐谷门票9折', '教育': '少年得到/火花思维首单7折'}",200000,80000,family_day.png
CAMP_2026_SPORTS,运动健康月,2026-10-01,2026-11-30,{'all': True},"{'健身': '超级猩猩/乐刻首单半价', '运动装备': '耐克/阿迪/李宁满500减80', '户外': '探路者/迪卡侬满300减50', '马拉松': '合作马拉松赛事报名费8折'}",180000,90000,sports_month.png
