cust_id,oneid,age,city,income_level,lifecycle_stage,vip_tier,card_level,product_name,total_credit_amount,card_count,usage_rate,annual_consumption,monthly_avg_consumption,cons_90d,cons_30d,cons_7d,txn_count_90d,txn_count_30d,txn_count_7d,active_days_90d,active_days_30d,active_days_7d,consumption_trend,installment_contribution,overdue_status,history_overdue_count,min_payment_count,churn_risk_score,cash_advance_risk,risk_level,value_level,activity_score,dormancy_risk,significant_signals,search_keywords_7d,browse_preferences_30d,milestones,marketing_consent,personalization_consent,dnc_list,do_not_contact,blacklist_flag,push_consent,sms_consent,wechat_consent,email_consent,phone_consent,unsubscribe_channels,complaint_count_90d,data_version,generated_at
C000001,UID000001,39,西安,M,成熟期,普通,金卡,XX银行YOUNG卡（青年版）,109600.0,4,0.3809,61039.39,5086.62,17799.97,4437.94,1330.79,11,3,0,6,2,0,down,5133.43,M1,1,0,0,4,low,medium,16,high,"活跃度骤降, 沉睡预警","账单分期×3, 注销×3, 固定额度×2","新手指引(19%), 还款页面(20%), 分期计算器(1%), 额度管理(60%)",,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000002,UID000002,33,杭州,M,成熟期,普通,金卡,XX银行京东PLUS联名信用卡（金卡）,59000.0,1,0.4421,163961.46,13663.45,25029.21,11084.49,2580.61,37,12,3,22,7,1,stable,11566.65,M0,0,0,0,6,low,medium,35,medium,,"12期×3, 投诉×6, 积分兑换×6","境外消费专区(55%), 还款页面(12%), 额度管理(23%), 新手指引(11%)",首投投诉,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000003,UID000003,32,合肥,M,新户,金卡,白金卡,XX银行全币种国际白金信用卡,223000.0,1,0.1235,288980.12,24081.68,55153.17,17280.56,3727.46,275,96,24,90,31,7,stable,13766.57,M0,0,0,10,9,low,medium,100,low,,"注销×7, 钻石卡×4, 账单分期×3","境外消费专区(14%), 积分兑换(43%), 分期计算器(27%), 还款页面(15%)",办理自动还款|首次境外消费,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000004,UID000004,32,上海,M,成熟期,普通,金卡,XX银行京东PLUS联名信用卡（金卡）,69000.0,2,0.7116,158811.41,13234.28,38097.29,10097.16,2780.01,28,9,2,16,5,1,stable,16913.97,M0,0,0,10,0,low,medium,38,medium,,"白金卡×8, 销户×7, 接送机×6","分期计算器(27%), 额度管理(42%), 新手指引(18%), 活动中心(13%)",,True,True,False,False,False,True,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000005,UID000005,50,东莞,M,新户,金卡,金卡,XX银行标准信用卡（金卡）,181700.0,4,0.633,88337.02,7361.42,21185.88,7016.35,1468.66,30,10,2,18,6,1,stable,9865.56,M0,0,0,6,2,low,medium,29,medium,,"注销×7, 提额×2, 5折×8","活动中心(16%), 分期计算器(14%), 境外消费专区(28%), 高端卡专区(42%)",,True,True,False,False,False,True,True,True,False,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000006,UID000006,42,北京,L,沉睡期,金卡,金卡,XX银行YOUNG卡（青年版）,20600.0,2,0.7056,7051.72,587.64,258.0,92.15,25.7,0,0,0,0,0,0,stable,404.98,M3+,3,0,75,0,high,medium,0,high,"活跃度骤降, 沉睡预警, 逾期预警","电影票×3, 白金卡×4, 海淘×7","活动中心(13%), 分期计算器(15%), 账单详情(3%), 境外消费专区(69%)",,True,True,False,False,False,True,False,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000007,UID000007,30,广州,L,成长期,金卡,金卡,XX银行YOUNG卡（青年版）,53400.0,2,0.2111,30742.43,2561.87,7152.92,2487.68,525.67,7,2,0,4,1,0,down,1585.1,M1,1,0,4,1,low,medium,8,high,"活跃度骤降, 沉睡预警","免税×7, 5折×7, 年费×8","权益商城(33%), 境外消费专区(26%), 新手指引(38%), 积分兑换(4%)",,True,True,False,False,False,True,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000008,UID000008,40,杭州,H,成长期,白金,白金卡,XX银行经典版白金信用卡,358500.0,3,0.2399,409502.55,34125.21,153417.6,50047.03,9790.61,128,44,11,76,26,6,down,18711.39,M0,0,0,15,3,low,high,93,low,,"5折×6, 固定额度×4, 12期×7","信用卡申请(15%), 额度管理(23%), 新手指引(53%), 账单详情(9%)",升级白金卡,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000009,UID000009,37,上海,M,成熟期,金卡,金卡,XX银行京东PLUS联名信用卡（金卡）,158500.0,4,0.7729,110372.18,9197.68,36152.85,15317.78,4485.06,21,7,1,12,4,1,down,7329.35,M1,1,0,0,8,low,medium,33,medium,,"酒店×6, 年费×7, 临时额度×5","高端卡专区(30%), 额度管理(51%), 积分兑换(15%), 境外消费专区(5%)",首笔分期办理|升级白金卡,True,True,False,False,False,True,False,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000010,UID000010,21,长沙,L,成熟期,普通,金卡,XX银行YOUNG卡（青年版）,43300.0,2,0.5069,42421.66,3535.14,13106.69,4594.6,1143.49,7,2,0,4,1,0,stable,3682.3,M0,0,0,19,5,low,low,11,high,"活跃度骤降, 沉睡预警","里程×3, 最低还款×3, 退卡×6","分期计算器(23%), 额度管理(10%), 高端卡专区(46%), 信用卡申请(21%)",升级白金卡|首投投诉|首次境外消费,True,True,False,False,False,True,True,True,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
