product_id,product_name,card_level,annual_fee,annual_fee_waiver,target_income,key_selling_points
PROD_STANDARD_N,XX银行标准信用卡（普卡）,普卡,100,首年免年费，年度刷卡6次免次年年费,"L,M","申请门槛低,日常消费返现,积分永不过期,新户开卡礼,免费短信提醒"
PROD_YOUNG_CAMPUS,XX银行YOUNG卡（校园版）,校园卡,0,在校期间终身免年费,L,"零额度/低额度培养信用,校园消费返现,毕业转卡权益升级,考试季专属优惠,潮流卡面设计"
PROD_HELLOKITTY_N,XX银行Hello Kitty粉丝信用卡（普卡）,普卡,100,首年免年费，年度刷卡6次免次年年费,"L,M","Hello Kitty主题卡面,粉丝专属周边优惠,新户开卡礼三选一,积分永不过期,生日双倍积分"
PROD_STANDARD_G,XX银行标准信用卡（金卡）,金卡,300,首年免年费，年度消费满2万元或刷卡12次免次年年费,"L,M","额度1万-10万,全国商户优惠,生日当月双倍积分,免费短信提醒,临时额度灵活调整"
PROD_YOUNG_G,XX银行YOUNG卡（青年版）,金卡,300,首年免年费，年度刷卡6次免次年年费,"L,M","30周岁以下专属,每月首笔取现免手续费,生日月双倍积分,最高额度5万,潮流IP联名卡面"
PROD_JD_G,XX银行京东PLUS联名信用卡（金卡）,金卡,300,首年免年费，年度刷卡6次免次年年费,"L,M","京东购物95折起,PLUS会员专享权益,6期免息分期,专属秒杀通道,新户达标送PLUS会员"
PROD_CTRIP_G,XX银行携程旅行信用卡（金卡）,金卡,300,首年免年费，年度消费满2万元或刷卡12次免次年年费,M,"携程订票立减优惠,出行保险赠送,境外消费双倍积分,酒店升级权益,旅行意外险保障"
PROD_CLASSIC_W,XX银行经典版白金信用卡,白金卡,3600,年度消费满18万元享10000永久积分兑换年费,"M,H","6次/年机场贵宾厅,6次/年300精选酒店贵宾价,1次/年健康体检+1次/年口腔护理,12次/年高尔夫练习场,航班延误险最高2000元,五星酒店自助餐买一赠一,生日10倍积分,积分兑里程1500:2000"
PROD_FREELIFE_W,XX银行自由人生白金信用卡,白金卡,800,首年免年费，年度消费满8万元免次年年费,"M,H","境外消费1%返现,2次/年机场贵宾厅,积分兑换视频会员,300精选酒店贵宾价,专属客服热线,新户首刷礼三选一"
PROD_UNIONPAY_W,XX银行银联白金信用卡,白金卡,1800,首年免年费，年度消费满5万元免次年年费,"M,H","银联白金权益(机场1元停车等),购物返现最高5%,专属客服热线,临时额度灵活调整,300精选酒店贵宾价,积分兑换文娱会员"
PROD_GLOBAL_W,XX银行全币种国际白金信用卡,白金卡,2600,有效期内免年费,"M,H","境外消费免货币转换费,全球机场贵宾厅(3000积分/人次),境外紧急补卡,多币种自动结算,境外消费返现最高8%,VISA/MC白金权益"
PROD_REFINED_W,XX银行精致版白金信用卡,白金卡,800,首年免年费，年度消费满8万元免次年年费,"M,H","2次/年300精选酒店贵宾价,积分兑换文娱会员,免外汇兑换手续费,新户达标赠饮品券(星巴克/喜茶/奈雪),银联白金权益"
PROD_CENTURION_W,XX银行百夫长白金卡,白金卡,3600,刚性年费(不可减免),"M,H","60次/年机场贵宾厅(含运通百夫长休息室),PP卡不限次,万豪积分1:2高倍兑换,6次/年300精选酒店,FHR/THC高端酒店礼遇,酒店精英会籍自动匹配(万豪金/希尔顿金),生日10倍积分,口腔护理+体检+高尔夫"
PROD_DIAMOND,XX银行银联钻石信用卡,钻石卡,3600,刚性年费(不可减免),H,"60次/年机场贵宾厅(可带1人),12次/年接送机,6次/年300精选酒店贵宾价,4张境内儿童经济舱机票,2次儿童口腔涂氟,专属钻石管家,顶级医疗健康服务,高额旅行保险1000万"
PROD_WORLD,XX银行万事达世界信用卡,无限卡,3600,刚性年费(不可减免),H,"60次/年机场贵宾厅(可带1人),2次境内机票返现(最高900元/次),2次境外机票返现(最高900元/次),6次/年300精选酒店贵宾价,2张境外博物馆门票,积分兑里程年上限5万里程,万事达世界卡专属权益"
