campaign_id,campaign_name,budget,expected_reach,actual_touches,actual_reach_rate,impressions,clicks,click_rate,conversions,conversion_rate,total_cost,attributed_revenue,roi,cpa,avg_attribution_hours
CAMP_2026_APPLEPAY,Apple Pay笔笔1%返现,8000000,500000,4155,0.0083,3353,1030,0.3072,1025,0.9951,1748.78,3679573.01,2103.08,1.71,135.8
CAMP_2026_DOUBLE11,双十一分期免息大促,500000,200000,4102,0.0205,3307,1050,0.3175,1047,0.9971,1768.9,3746254.75,2116.8443,1.69,127.7
CAMP_2026_SPRINGFEST,春节境外消费返现,800000,50000,4128,0.0826,3275,1000,0.3053,998,0.998,1875.04,3071678.21,1637.1934,1.88,123.1
CAMP_2026_NEWUSER,新户开卡三重礼,1500000,150000,4145,0.0276,3322,1029,0.3098,1021,0.9922,1824.73,2969052.71,1626.1189,1.79,128.2
CAMP_2026_DORMANT,沉睡客户唤醒计划,600000,80000,3983,0.0498,3204,1013,0.3162,1009,0.9961,1765.99,2764916.79,1564.6469,1.75,127.9
CAMP_2026_SUMMER,暑期出行季,400000,150000,4108,0.0274,3281,1017,0.31,1012,0.9951,1791.11,2906511.6,1621.7432,1.77,127.3
CAMP_2026_UPGRADE,金卡升级白金卡邀请,200000,30000,4120,0.1373,3287,1063,0.3234,1059,0.9962,1827.3,3652306.56,1997.7449,1.73,126.0
CAMP_2026_618,618购物节返现,300000,100000,4015,0.0401,3224,1007,0.3123,999,0.9921,1809.5,3231514.39,1784.8604,1.81,124.5
CAMP_2026_CAMPUS,校园卡毕业季,100000,20000,4049,0.2024,3216,1024,0.3184,1015,0.9912,1810.07,2784632.89,1537.4117,1.78,128.8
CAMP_2026_BIRTHDAY,生日月专属福利,2000000,500000,4065,0.0081,3230,1023,0.3167,1020,0.9971,1746.68,4156849.07,2378.8573,1.71,123.9
CAMP_2026_CROSSBORDER,跨境消费达人,350000,25000,4167,0.1667,3337,1036,0.3105,1024,0.9884,1824.66,3118567.18,1708.1223,1.78,132.1
CAMP_2026_WEDDING5,周三5折饭票,5000000,800000,4099,0.0051,3261,1018,0.3122,1017,0.999,1668.27,3263627.12,1955.2943,1.64,126.6
CAMP_2026_MOVIE9,9元观影,3000000,600000,4070,0.0068,3245,1006,0.31,998,0.992,1805.02,3556985.94,1969.6075,1.81,125.9
CAMP_2026_REFERRAL,推荐办卡有礼,800000,100000,3924,0.0392,3125,991,0.3171,985,0.9939,1707.46,3433543.32,2009.907,1.73,127.4
CAMP_2026_AI_TOKEN,AI算力权益新户礼,500000,50000,4055,0.0811,3236,1038,0.3208,1035,0.9971,1719.4,3367618.58,1957.601,1.66,133.8
CAMP_2026_POINTS_BOOST,积分膨胀季,300000,200000,4043,0.0202,3197,960,0.3003,958,0.9979,1767.94,3310359.23,1871.4387,1.85,125.0
CAMP_2026_GREEN,绿色消费计划,200000,100000,4029,0.0403,3234,1021,0.3157,1015,0.9941,1794.61,3484082.03,1940.4146,1.77,130.7
CAMP_2026_WOMEN,女性消费节,150000,80000,4107,0.0513,3283,1034,0.315,1032,0.9981,1785.41,2686687.61,1503.8015,1.73,133.1
CAMP_2026_NYE,年终回馈盛典,500000,400000,4076,0.0102,3296,1024,0.3107,1017,0.9932,1824.34,3219810.08,1763.9178,1.79,120.0
CAMP_2026_SPRING_TRAVEL,春季出行节,250000,120000,4118,0.0343,3296,1065,0.3231,1059,0.9944,1781.33,3622961.71,2032.8521,1.68,123.9
CAMP_2026_BACK_SCHOOL,开学季特惠,150000,60000,4114,0.0686,3265,1030,0.3155,1022,0.9922,1798.6,3035697.5,1686.8114,1.76,124.8
CAMP_2026_NATIONAL,国庆黄金周出行保障,600000,180000,4067,0.0226,3229,1019,0.3156,1012,0.9931,1741.22,3632208.96,2085.0138,1.72,124.6
CAMP_2026_CLOUD_FLASH,云闪付专属优惠,200000,300000,4157,0.0139,3319,1055,0.3179,1049,0.9943,1884.38,3744880.27,1986.3275,1.8,132.8
CAMP_2026_FAMILY,亲子家庭日,200000,80000,4074,0.0509,3239,974,0.3007,970,0.9959,1783.24,3544119.44,1986.4607,1.84,122.6
CAMP_2026_SPORTS,运动健康月,180000,90000,4104,0.0456,3278,1056,0.3221,1052,0.9962,1863.05,3120633.56,1674.0133,1.77,126.7
