cust_id,oneid,primary_intent,intent_json,intent_分期_借贷需求,intent_跨境_出行需求,intent_额度_升级需求,intent_权益_优惠需求,intent_沉睡_流失风险,intent_新户_激活引导
C000001,UID000001,分期/借贷需求,"{""分期/借贷需求"": 90, ""跨境/出行需求"": 8, ""额度/升级需求"": 60, ""权益/优惠需求"": 27, ""沉睡/流失风险"": 65, ""新户/激活引导"": 12}",90,8,60,27,65,12
C000002,UID000002,权益/优惠需求,"{""分期/借贷需求"": 18, ""跨境/出行需求"": 28, ""额度/升级需求"": 11, ""权益/优惠需求"": 84, ""沉睡/流失风险"": 55, ""新户/激活引导"": 23}",18,28,11,84,55,23
C000003,UID000003,分期/借贷需求,"{""分期/借贷需求"": 83, ""跨境/出行需求"": 6, ""额度/升级需求"": 60, ""权益/优惠需求"": 15, ""沉睡/流失风险"": 63, ""新户/激活引导"": 67}",83,6,60,15,63,67
C000004,UID000004,额度/升级需求,"{""分期/借贷需求"": 42, ""跨境/出行需求"": 24, ""额度/升级需求"": 60, ""权益/优惠需求"": 45, ""沉睡/流失风险"": 11, ""新户/激活引导"": 25}",42,24,60,45,11,25
C000005,UID000005,沉睡/流失风险,"{""分期/借贷需求"": 44, ""跨境/出行需求"": 18, ""额度/升级需求"": 67, ""权益/优惠需求"": 78, ""沉睡/流失风险"": 87, ""新户/激活引导"": 68}",44,18,67,78,87,68
C000006,UID000006,额度/升级需求,"{""分期/借贷需求"": 10, ""跨境/出行需求"": 29, ""额度/升级需求"": 85, ""权益/优惠需求"": 20, ""沉睡/流失风险"": 77, ""新户/激活引导"": 15}",10,29,85,20,77,15
C000007,UID000007,权益/优惠需求,"{""分期/借贷需求"": 27, ""跨境/出行需求"": 9, ""额度/升级需求"": 18, ""权益/优惠需求"": 71, ""沉睡/流失风险"": 8, ""新户/激活引导"": 7}",27,9,18,71,8,7
C000008,UID000008,权益/优惠需求,"{""分期/借贷需求"": 34, ""跨境/出行需求"": 8, ""额度/升级需求"": 71, ""权益/优惠需求"": 72, ""沉睡/流失风险"": 24, ""新户/激活引导"": 13}",34,8,71,72,24,13
C000009,UID000009,额度/升级需求,"{""分期/借贷需求"": 12, ""跨境/出行需求"": 28, ""额度/升级需求"": 74, ""权益/优惠需求"": 44, ""沉睡/流失风险"": 8, ""新户/激活引导"": 17}",12,28,74,44,8,17
C000010,UID000010,权益/优惠需求,"{""分期/借贷需求"": 15, ""跨境/出行需求"": 22, ""额度/升级需求"": 23, ""权益/优惠需求"": 33, ""沉睡/流失风险"": 23, ""新户/激活引导"": 11}",15,22,23,33,23,11
C000011,UID000011,分期/借贷需求,"{""分期/借贷需求"": 92, ""跨境/出行需求"": 7, ""额度/升级需求"": 61, ""权益/优惠需求"": 64, ""沉睡/流失风险"": 29, ""新户/激活引导"": 14}",92,7,61,64,29,14
C000012,UID000012,分期/借贷需求,"{""分期/借贷需求"": 72, ""跨境/出行需求"": 32, ""额度/升级需求"": 67, ""权益/优惠需求"": 16, ""沉睡/流失风险"": 17, ""新户/激活引导"": 13}",72,32,67,16,17,13
C000013,UID000013,分期/借贷需求,"{""分期/借贷需求"": 84, ""跨境/出行需求"": 80, ""额度/升级需求"": 28, ""权益/优惠需求"": 20, ""沉睡/流失风险"": 16, ""新户/激活引导"": 16}",84,80,28,20,16,16
C000014,UID000014,沉睡/流失风险,"{""分期/借贷需求"": 23, ""跨境/出行需求"": 26, ""额度/升级需求"": 68, ""权益/优惠需求"": 14, ""沉睡/流失风险"": 88, ""新户/激活引导"": 25}",23,26,68,14,88,25
C000015,UID000015,额度/升级需求,"{""分期/借贷需求"": 20, ""跨境/出行需求"": 22, ""额度/升级需求"": 83, ""权益/优惠需求"": 25, ""沉睡/流失风险"": 10, ""新户/激活引导"": 19}",20,22,83,25,10,19
C000016,UID000016,额度/升级需求,"{""分期/借贷需求"": 34, ""跨境/出行需求"": 68, ""额度/升级需求"": 89, ""权益/优惠需求"": 45, ""沉睡/流失风险"": 12, ""新户/激活引导"": 15}",34,68,89,45,12,15
C000017,UID000017,权益/优惠需求,"{""分期/借贷需求"": 13, ""跨境/出行需求"": 12, ""额度/升级需求"": 7, ""权益/优惠需求"": 30, ""沉睡/流失风险"": 17, ""新户/激活引导"": 13}",13,12,7,30,17,13
C000018,UID000018,额度/升级需求,"{""分期/借贷需求"": 14, ""跨境/出行需求"": 66, ""额度/升级需求"": 89, ""权益/优惠需求"": 30, ""沉睡/流失风险"": 63, ""新户/激活引导"": 25}",14,66,89,30,63,25
C000019,UID000019,新户/激活引导,"{""分期/借贷需求"": 41, ""跨境/出行需求"": 17, ""额度/升级需求"": 34, ""权益/优惠需求"": 59, ""沉睡/流失风险"": 13, ""新户/激活引导"": 64}",41,17,34,59,13,64
C000020,UID000020,沉睡/流失风险,"{""分期/借贷需求"": 25, ""跨境/出行需求"": 28, ""额度/升级需求"": 40, ""权益/优惠需求"": 44, ""沉睡/流失风险"": 66, ""新户/激活引导"": 23}",25,28,40,44,66,23
C000021,UID000021,额度/升级需求,"{""分期/借贷需求"": 37, ""跨境/出行需求"": 33, ""额度/升级需求"": 78, ""权益/优惠需求"": 35, ""沉睡/流失风险"": 16, ""新户/激活引导"": 12}",37,33,78,35,16,12
C000022,UID000022,额度/升级需求,"{""分期/借贷需求"": 74, ""跨境/出行需求"": 21, ""额度/升级需求"": 75, ""权益/优惠需求"": 15, ""沉睡/流失风险"": 53, ""新户/激活引导"": 8}",74,21,75,15,53,8
C000023,UID000023,权益/优惠需求,"{""分期/借贷需求"": 19, ""跨境/出行需求"": 25, ""额度/升级需求"": 65, ""权益/优惠需求"": 77, ""沉睡/流失风险"": 24, ""新户/激活引导"": 7}",19,25,65,77,24,7
C000024,UID000024,沉睡/流失风险,"{""分期/借贷需求"": 34, ""跨境/出行需求"": 17, ""额度/升级需求"": 79, ""权益/优惠需求"": 39, ""沉睡/流失风险"": 83, ""新户/激活引导"": 13}",34,17,79,39,83,13
C000025,UID000025,沉睡/流失风险,"{""分期/借贷需求"": 45, ""跨境/出行需求"": 32, ""额度/升级需求"": 5, ""权益/优惠需求"": 57, ""沉睡/流失风险"": 84, ""新户/激活引导"": 13}",45,32,5,57,84,13
C000026,UID000026,额度/升级需求,"{""分期/借贷需求"": 31, ""跨境/出行需求"": 8, ""额度/升级需求"": 69, ""权益/优惠需求"": 37, ""沉睡/流失风险"": 60, ""新户/激活引导"": 19}",31,8,69,37,60,19
C000027,UID000027,权益/优惠需求,"{""分期/借贷需求"": 10, ""跨境/出行需求"": 35, ""额度/升级需求"": 21, ""权益/优惠需求"": 42, ""沉睡/流失风险"": 29, ""新户/激活引导"": 10}",10,35,21,42,29,10
C000028,UID000028,分期/借贷需求,"{""分期/借贷需求"": 86, ""跨境/出行需求"": 34, ""额度/升级需求"": 63, ""权益/优惠需求"": 69, ""沉睡/流失风险"": 25, ""新户/激活引导"": 21}",86,34,63,69,25,21
C000029,UID000029,分期/借贷需求,"{""分期/借贷需求"": 48, ""跨境/出行需求"": 11, ""额度/升级需求"": 14, ""权益/优惠需求"": 33, ""沉睡/流失风险"": 29, ""新户/激活引导"": 10}",48,11,14,33,29,10
C000030,UID000030,跨境/出行需求,"{""分期/借贷需求"": 44, ""跨境/出行需求"": 90, ""额度/升级需求"": 38, ""权益/优惠需求"": 10, ""沉睡/流失风险"": 24, ""新户/激活引导"": 15}",44,90,38,10,24,15
C000031,UID000031,分期/借贷需求,"{""分期/借贷需求"": 85, ""跨境/出行需求"": 60, ""额度/升级需求"": 12, ""权益/优惠需求"": 33, ""沉睡/流失风险"": 69, ""新户/激活引导"": 12}",85,60,12,33,69,12
C000032,UID000032,沉睡/流失风险,"{""分期/借贷需求"": 71, ""跨境/出行需求"": 12, ""额度/升级需求"": 10, ""权益/优惠需求"": 55, ""沉睡/流失风险"": 81, ""新户/激活引导"": 7}",71,12,10,55,81,7
C000033,UID000033,新户/激活引导,"{""分期/借贷需求"": 44, ""跨境/出行需求"": 29, ""额度/升级需求"": 64, ""权益/优惠需求"": 18, ""沉睡/流失风险"": 26, ""新户/激活引导"": 75}",44,29,64,18,26,75
C000034,UID000034,分期/借贷需求,"{""分期/借贷需求"": 87, ""跨境/出行需求"": 10, ""额度/升级需求"": 68, ""权益/优惠需求"": 43, ""沉睡/流失风险"": 24, ""新户/激活引导"": 18}",87,10,68,43,24,18
C000035,UID000035,权益/优惠需求,"{""分期/借贷需求"": 23, ""跨境/出行需求"": 34, ""额度/升级需求"": 39, ""权益/优惠需求"": 62, ""沉睡/流失风险"": 27, ""新户/激活引导"": 14}",23,34,39,62,27,14
C000036,UID000036,额度/升级需求,"{""分期/借贷需求"": 35, ""跨境/出行需求"": 26, ""额度/升级需求"": 80, ""权益/优惠需求"": 33, ""沉睡/流失风险"": 19, ""新户/激活引导"": 21}",35,26,80,33,19,21
C000037,UID000037,额度/升级需求,"{""分期/借贷需求"": 38, ""跨境/出行需求"": 8, ""额度/升级需求"": 67, ""权益/优惠需求"": 24, ""沉睡/流失风险"": 54, ""新户/激活引导"": 15}",38,8,67,24,54,15
