crm_id,cust_id,lifecycle_stage,customer_manager,vip_tier,churn_risk_score,last_contact_date,contact_preference
CRM030511,C000001,成熟期,吴芳,普通,0,2026-06-26,APP Push
CRM619706,C000002,成熟期,黄海波,普通,0,2026-06-20,邮件
CRM166775,C000003,新户,陈晓燕,金卡,10,2026-06-05,短信
CRM036704,C000004,成熟期,马晓雯,普通,10,2026-06-26,APP Push
CRM260010,C000005,新户,李娟,金卡,6,2026-05-28,APP Push
CRM870824,C000006,沉睡期,罗玲,金卡,75,2025-10-09,短信
CRM716970,C000007,成长期,马晓雯,金卡,4,2026-05-28,短信
CRM608215,C000008,成长期,钱丽华,白金,15,2026-04-09,电话
CRM636200,C000009,成熟期,李娟,金卡,0,2026-06-30,电话
CRM649737,C000010,成熟期,钱丽华,普通,19,2026-04-14,电话
CRM711178,C000011,成熟期,周涛,金卡,0,2026-06-04,邮件
CRM787556,C000012,成熟期,郑刚,金卡,23,2025-07-28,短信
CRM988656,C000013,成长期,何志明,金卡,2,2026-05-19,APP Push
CRM682620,C000014,成熟期,马晓雯,金卡,0,2026-06-19,电话
CRM865522,C000015,成熟期,马晓雯,普通,0,2026-06-12,APP Push
CRM146340,C000016,成长期,何志明,普通,0,2026-05-31,APP Push
CRM520654,C000017,成熟期,刘志强,普通,0,2026-05-17,电话
CRM778474,C000018,成熟期,何志明,普通,2,2026-06-04,APP Push
CRM561713,C000019,新户,周涛,白金,0,2026-07-14,短信
CRM053642,C000020,成熟期,钱丽华,金卡,0,2026-06-12,APP Push
CRM568224,C000021,成熟期,郑刚,普通,9,2026-06-24,电话
CRM173870,C000022,成熟期,张伟,普通,0,2026-07-13,APP Push
CRM930622,C000023,成熟期,黄海波,普通,3,2026-06-27,邮件
CRM835587,C000024,成熟期,赵敏,白金,0,2026-05-26,短信
CRM311352,C000025,成长期,何志明,普通,5,2026-05-25,短信
CRM877479,C000026,成长期,吴芳,普通,0,2026-06-28,短信
CRM034606,C000027,成熟期,孙磊,金卡,0,2026-06-25,短信
CRM811025,C000028,成熟期,周涛,白金,7,2026-07-03,短信
CRM600656,C000029,成熟期,李娟,普通,0,2026-07-14,APP Push
CRM062582,C000030,成熟期,罗玲,金卡,0,2026-07-04,APP Push
CRM242053,C000031,成长期,王建国,白金,4,2026-05-19,APP Push
CRM117289,C000032,沉睡期,郑刚,金卡,72,2025-08-05,APP Push
CRM409726,C000033,新户,王建国,钻石,15,2026-07-14,邮件
CRM638644,C000034,成熟期,林雪梅,普通,9,2026-06-04,短信
CRM224678,C000035,成熟期,张伟,普通,6,2026-05-16,短信
