cust_id,value_annual_consumption,value_monthly_avg_consumption,value_max_single_transaction,value_transaction_count_12m,value_installment_contribution_12m,risk_overdue_status,risk_history_overdue_count_6m,risk_min_payment_frequency_6m,long_term_90d_total_consumption,long_term_90d_txn_count,long_term_90d_max_single,long_term_90d_active_days,long_term_90d_activity_score,long_term_90d_dormancy_risk,long_term_90d_significant_signals,long_term_90d_monthly_avg_90d,mid_term_30d_total_consumption,mid_term_30d_txn_count,mid_term_30d_max_single,mid_term_30d_active_days,mid_term_30d_consumption_trend,mid_term_30d_trend_change_pct,short_term_7d_total_consumption,short_term_7d_txn_count,short_term_7d_active_days,short_term_7d_avg_daily_spend,realtime_signal_count,realtime_has_high_value_txn
C000001,138782.47,11565.21,32336.11,141,9104.39,M0,0,0,44859.38,35,8084.03,21,46,medium,,14953.13,16653.34,12,3233.61,7,stable,-7.7,2965.75,3,1,423.68,1,False
C000002,66800.86,5566.74,6402.94,112,6845.46,M0,0,0,18194.59,28,1600.73,16,26,medium,活跃度骤降,6064.86,4990.66,9,640.29,5,stable,9.1,1147.62,2,1,163.95,0,False
C000003,161053.07,13421.09,31905.2,618,17837.35,M0,0,0,65666.57,185,7976.3,90,100,low,,21888.86,29404.36,64,3190.52,31,stable,-11.0,6489.31,16,7,927.04,0,False
C000004,74176.92,6181.41,12891.52,303,10453.9,M0,0,0,15750.89,75,3222.88,45,51,low,,5250.3,5579.19,26,1289.15,15,stable,-1.8,1131.06,6,3,161.58,1,False
C000005,247509.94,20625.83,49372.04,176,14565.77,M0,0,0,63877.19,52,12343.01,31,59,low,,21292.4,20863.71,18,4937.2,10,stable,10.1,6244.73,4,2,892.1,0,False
C000006,5395.61,449.63,1351.86,18,802.27,M2,2,0,163.06,0,337.97,0,0,high,"活跃度骤降,沉睡预警",54.35,67.87,0,135.19,0,stable,-7.6,19.3,0,0,2.76,0,False
C000007,30291.4,2524.28,8050.72,29,2516.91,M0,0,0,8467.89,9,2012.68,5,10,high,"活跃度骤降,沉睡预警",2822.63,3372.06,3,805.07,1,stable,-5.2,1038.87,0,0,148.41,0,False
C000008,1003086.92,83590.58,190906.8,834,99686.34,M0,0,0,202231.32,271,47726.7,90,100,low,,67410.44,54128.67,94,19090.68,31,up,23.1,14639.72,23,7,2091.39,0,False
C000009,120649.94,10054.16,18410.67,102,8792.95,M0,0,0,21987.76,25,4602.67,15,27,medium,活跃度骤降,7329.25,9679.81,8,1841.07,5,stable,-11.0,2613.65,2,1,373.38,1,False
C000010,38214.37,3184.53,7063.38,30,5335.08,M0,0,0,7474.24,7,1765.84,4,8,high,"活跃度骤降,沉睡预警",2491.41,2501.57,2,706.34,1,stable,-11.3,760.75,0,0,108.68,0,False
C000011,122271.57,10189.3,9777.61,191,17642.68,M0,0,0,35532.58,47,2444.4,28,47,medium,,11844.19,11418.83,16,977.76,9,stable,-15.9,3646.8,4,2,520.97,0,False
C000012,6678.2,556.52,395.49,6,669.61,M0,0,0,2214.85,1,98.87,0,1,high,"活跃度骤降,沉睡预警",738.28,654.06,0,39.55,0,up,16.6,162.48,0,0,23.21,2,False
C000013,194873.29,16239.44,21320.97,169,16910.78,M0,0,0,65146.42,54,5330.24,32,60,low,,21715.47,17196.1,18,2132.1,11,stable,-11.8,3836.74,4,2,548.11,0,True
C000014,200824.95,16735.41,10874.06,231,14589.85,M0,0,0,57875.25,57,2718.51,34,62,low,,19291.75,18879.74,19,1087.41,11,stable,-14.9,3693.41,4,2,527.63,0,False
C000015,66782.36,5565.2,7645.61,63,8796.72,M0,0,0,13247.65,15,1911.4,9,16,high,"活跃度骤降,沉睡预警",4415.88,3504.69,5,764.56,3,stable,-13.7,1086.67,1,0,155.24,0,False
C000016,51308.24,4275.69,14072.7,37,6566.82,M0,0,0,12161.26,12,3518.17,7,14,high,"活跃度骤降,沉睡预警",4053.75,5274.29,4,1407.27,2,stable,-4.1,930.28,1,0,132.9,0,False
C000017,14007.37,1167.28,2621.95,12,1613.59,M0,0,0,2765.75,3,655.49,1,3,high,"活跃度骤降,沉睡预警",921.92,866.6,1,262.19,0,stable,-9.0,236.1,0,0,33.73,0,False
C000018,17320.76,1443.4,2458.32,31,1288.65,M3+,3,0,5688.3,7,614.58,4,7,high,"活跃度骤降,沉睡预警",1896.1,2147.56,2,245.83,1,stable,-10.5,537.74,0,0,76.82,0,False
C000019,186711.8,15559.32,22441.47,806,21387.32,M0,0,1,76354.46,241,5610.37,90,100,low,,25451.49,33376.18,84,2244.15,31,stable,5.5,5918.21,21,7,845.46,1,False
C000020,223604.84,18633.74,58864.5,383,19791.21,M0,0,0,41120.6,95,14716.13,57,78,low,,13706.87,14882.71,33,5886.45,19,stable,-14.9,4158.3,8,4,594.04,0,False
C000021,165864.21,13822.02,14101.94,189,22845.69,M0,0,0,48183.03,47,3525.49,28,55,low,,16061.01,15442.33,16,1410.19,9,stable,9.0,4577.17,4,2,653.88,0,False
C000022,12770.74,1064.23,2239.72,10,1468.59,M0,0,0,4188.82,2,559.93,1,3,high,"活跃度骤降,沉睡预警",1396.27,1323.58,0,223.97,0,stable,5.2,250.29,0,0,35.76,0,True
C000023,27935.02,2327.92,3397.89,28,1481.95,M0,0,0,6202.64,7,849.47,4,7,high,"活跃度骤降,沉睡预警",2067.55,1685.15,2,339.79,1,stable,-0.9,489.53,0,0,69.93,0,False
C000024,337534.07,28127.84,61714.28,373,38392.13,M2,2,4,85483.9,93,15428.57,55,82,low,,28494.63,26741.15,32,6171.43,19,stable,-10.6,5766.06,8,4,823.72,0,False
C000025,115580.17,9631.68,29934.69,104,10505.69,M0,0,0,30058.14,33,7483.67,19,36,medium,,10019.38,10831.08,11,2993.47,6,stable,-7.9,2968.04,2,1,424.01,0,False
C000026,14700.87,1225.07,2983.25,19,1099.23,M0,0,0,2921.68,6,745.81,3,4,high,"活跃度骤降,沉睡预警",973.89,787.03,2,298.32,1,up,22.2,142.54,0,0,20.36,1,False
