contact_id,cust_id,campaign_id,channel,contact_time,contact_type,status,response_time_sec,cost
CONTACT_00000001,C001544,CAMP_2026_GREEN,微信公众号,2026-06-04 03:21:00,marketing,unsubscribed,0,0.03
CONTACT_00000002,C006709,CAMP_2026_POINTS_BOOST,手机银行APP内消息,2026-05-15 15:11:00,marketing,opened,74049,0.01
CONTACT_00000003,C002359,CAMP_2026_WOMEN,微信公众号,2026-06-24 09:08:00,marketing,sent,0,0.03
CONTACT_00000004,C001689,CAMP_2026_WOMEN,微信公众号,2026-06-12 09:34:00,marketing,clicked,31472,0.03
CONTACT_00000005,C005538,CAMP_2026_NATIONAL,微信公众号,2026-07-11 06:47:00,marketing,clicked,55533,0.03
CONTACT_00000006,C005063,CAMP_2026_REFERRAL,邮件,2026-07-02 07:03:00,marketing,unsubscribed,0,0.01
CONTACT_00000007,C004501,CAMP_2026_SUMMER,短信,2026-07-09 22:49:00,marketing,delivered,0,0.06
CONTACT_00000008,C001096,CAMP_2026_SPORTS,邮件,2026-07-11 16:48:00,marketing,opened,64534,0.01
CONTACT_00000009,C000993,CAMP_2026_618,电话外呼,2026-05-10 18:10:00,marketing,opened,77099,2.5
CONTACT_00000010,C004278,CAMP_2026_CLOUD_FLASH,微信公众号,2026-07-06 16:00:00,marketing,unsubscribed,0,0.03
CONTACT_00000011,C005394,CAMP_2026_AI_TOKEN,手机银行APP内消息,2026-06-26 08:43:00,marketing,clicked,80984,0.01
CONTACT_00000012,C002099,CAMP_2026_SPRING_TRAVEL,APP Push,2026-04-16 03:52:00,marketing,clicked,3916,0.02
CONTACT_00000013,C000245,,APP Push,2026-06-30 00:53:00,service,clicked,21531,0.02
CONTACT_00000014,C002389,CAMP_2026_NATIONAL,微信公众号,2026-06-25 20:28:00,marketing,clicked,79021,0.03
CONTACT_00000015,C005174,CAMP_2026_POINTS_BOOST,手机银行APP内消息,2026-07-04 07:38:00,marketing,opened,64686,0.01
CONTACT_00000016,C001139,CAMP_2026_NYE,手机银行APP内消息,2026-06-15 18:16:00,marketing,unsubscribed,0,0.01
CONTACT_00000017,C004343,,手机银行APP内消息,2026-06-24 08:46:00,transactional,opened,306,0.01
CONTACT_00000018,C005727,,手机银行APP内消息,2026-05-20 10:52:00,transactional,bounced,0,0.01
