cust_id,marketing_consent,personalization_consent,data_sharing_consent,sms_consent,phone_consent,email_consent,push_consent,wechat_consent,consent_updated_at,dnc_list,unsubscribe_channels,unsubscribe_at,complaint_count_90d,do_not_contact_signal,risk_level,blacklist_flag,value_level
C000001,True,True,True,True,False,True,True,True,2025-09-10,False,,,0,False,low,False,medium
C000002,True,True,False,True,False,True,True,True,2025-09-04,False,,,0,False,low,False,medium
C000003,True,True,True,True,False,True,True,True,2025-07-27,False,,,0,False,low,False,medium
C000004,True,True,True,True,False,False,True,True,2026-04-08,False,,,0,False,low,False,medium
C000005,True,True,True,True,True,False,True,True,2026-01-23,False,,,0,False,low,False,medium
C000006,True,True,True,False,False,False,True,True,2025-08-03,False,,,0,False,high,False,medium
C000007,True,True,False,True,False,False,True,True,2025-12-11,False,,,0,False,low,False,medium
C000008,True,True,True,True,False,True,True,True,2025-07-28,False,,,0,False,low,False,high
C000009,True,True,True,False,False,True,True,True,2026-02-06,False,,,0,False,low,False,medium
C000010,True,True,True,True,True,True,True,True,2026-02-05,False,,,0,False,low,False,low
C000011,True,True,True,True,False,False,True,True,2026-03-17,False,,,0,False,low,False,medium
C000012,True,True,True,True,False,True,True,True,2025-11-03,False,,,0,False,low,False,medium
C000013,True,True,True,True,True,True,True,True,2025-08-29,False,,,0,False,low,False,medium
C000014,True,True,False,False,False,True,False,False,2025-08-23,False,短信,2026-01-28,0,False,low,False,medium
C000015,True,True,True,True,True,True,True,True,2025-08-31,False,,,0,False,low,False,low
C000016,True,True,True,True,False,True,True,True,2025-10-12,False,,,0,False,low,False,low
C000017,True,True,True,True,False,True,True,True,2025-09-13,False,,,0,False,low,False,low
C000018,True,True,False,True,False,True,True,True,2026-01-04,True,,,0,True,high,True,low
C000019,True,True,True,True,False,False,True,True,2026-05-25,False,,,0,False,low,False,high
C000020,True,False,True,True,False,True,True,True,2025-07-25,False,,,0,False,low,False,medium
C000021,True,True,False,True,False,True,True,True,2025-08-21,False,,,0,False,low,False,medium
C000022,True,False,False,True,True,True,True,True,2025-11-20,False,,,0,False,low,False,low
C000023,True,True,True,True,False,False,False,True,2025-07-26,False,,,0,False,low,False,medium
C000024,True,True,False,True,True,True,True,True,2026-01-17,False,,,0,True,high,False,high
C000025,True,True,True,True,False,False,True,True,2025-08-10,False,,,0,False,low,False,medium
C000026,True,True,False,True,True,True,True,True,2026-06-21,False,,,0,False,low,False,low
C000027,False,True,True,True,True,False,True,True,2026-01-27,False,,,0,False,low,False,medium
C000028,False,False,True,True,False,True,True,True,2026-02-11,False,,,0,False,low,False,high
C000029,True,True,False,True,False,True,True,True,2026-06-27,False,,,0,False,low,False,medium
C000030,True,False,False,True,False,False,True,False,2026-03-02,False,,,0,False,low,False,medium
C000031,True,True,False,True,False,False,True,True,2026-03-13,False,,,0,False,low,False,high
C000032,True,True,False,True,False,False,True,True,2025-12-24,False,,,0,False,high,False,medium
C000033,True,True,True,True,False,True,True,True,2025-08-08,False,,,0,False,low,False,high
C000034,False,True,False,True,False,True,True,True,2025-10-21,False,,,0,False,low,False,high
C000035,True,False,True,True,False,False,True,True,2025-09-07,False,,,0,False,low,False,low
C000036,True,True,True,True,False,True,True,True,2025-09-12,False,,,0,False,low,False,high
C000037,True,True,True,True,False,True,True,True,2026-02-17,False,,,0,False,high,False,high
C000038,True,True,False,True,False,True,True,True,2025-10-16,False,,,0,False,low,False,high
C000039,True,True,False,False,False,False,True,True,2025-11-18,False,,,0,False,low,False,high
C000040,True,True,True,True,False,True,True,True,2026-04-15,False,,,0,False,low,False,high
C000041,True,True,True,True,False,False,True,True,2026-02-26,False,,,0,False,low,False,medium
C000042,True,True,True,True,False,True,True,True,2025-09-12,False,,,0,False,low,False,high
C000043,True,True,True,True,False,True,True,False,2026-05-30,False,,,0,False,low,False,medium
C000044,True,True,True,True,False,False,False,False,2025-10-24,False,,,0,False,medium,False,high
C000045,True,True,False,True,False,True,True,True,2026-07-05,False,,,0,False,low,False,medium
C000046,True,False,False,True,False,True,True,False,2026-07-13,False,,,0,False,low,False,high
C000047,True,True,True,True,False,False,True,False,2026-04-18,False,,,0,False,low,False,medium
C000048,True,True,False,False,True,False,True,True,2026-02-15,False,,,0,False,low,False,medium
C000049,True,True,True,True,False,True,True,True,2025-12-30,False,,,0,False,low,False,medium
C000050,True,False,True,True,False,True,True,True,2026-06-28,False,,,0,False,low,False,medium
C000051,True,True,True,True,False,True,True,True,2025-09-20,False,,,0,False,medium,False,medium
C000052,True,True,True,False,True,True,True,False,2025-11-05,False,,,0,False,low,False,high
C000053,True,False,True,True,False,True,True,True,2026-05-02,False,,,0,False,medium,False,medium
C000054,True,True,True,False,True,False,True,True,2025-11-10,False,,,0,False,low,False,high
C000055,True,True,True,False,True,True,True,True,2026-02-24,False,,,0,False,low,False,medium
C000056,True,True,False,True,True,True,False,True,2026-05-03,False,,,0,False,low,False,low
C000057,True,True,False,True,True,False,True,True,2025-07-20,False,,,0,False,low,False,medium
C000058,True,True,False,True,False,False,True,True,2025-10-11,False,,,0,False,low,False,low
C000059,True,True,False,True,False,False,True,True,2025-10-05,False,,,0,False,low,False,medium
C000060,True,True,True,True,True,True,True,True,2026-01-14,False,,,0,False,low,False,high
C000061,True,True,True,False,True,True,True,False,2026-07-11,False,,,0,False,low,False,medium
C000062,True,True,True,True,False,False,True,True,2026-02-12,False,,,0,False,low,False,high
C000063,True,True,True,False,False,True,True,False,2026-05-18,False,,,0,False,low,False,medium
C000064,True,True,True,True,False,True,True,True,2025-12-27,False,,,0,False,low,False,high
C000065,True,True,True,True,False,False,True,True,2025-08-06,False,,,0,False,low,False,high
C000066,True,True,False,True,False,True,True,True,2026-02-04,False,,,0,False,low,False,medium
C000067,True,True,True,True,False,False,False,True,2025-10-28,False,,,0,False,low,False,medium
C000068,True,True,False,True,False,True,True,True,2026-04-23,False,,,0,False,low,False,high
C000069,True,True,True,True,False,True,True,True,2026-04-08,False,,,0,False,low,False,high
C000070,True,True,False,True,False,True,True,True,2025-12-08,False,,,0,False,low,False,medium
C000071,True,True,False,True,False,True,True,True,2025-08-20,False,,,0,False,low,False,medium
C000072,True,False,True,True,False,False,True,True,2026-01-26,False,,,0,False,low,False,high
C000073,True,True,False,True,True,False,True,True,2025-10-21,False,,,0,False,low,False,low
C000074,True,True,False,True,False,True,True,True,2025-08-21,False,,,0,False,low,False,medium
C000075,True,True,True,False,False,True,True,True,2025-09-04,False,,,0,False,low,False,medium
C000076,True,False,True,True,False,False,True,True,2026-01-01,False,,,0,False,medium,False,low
C000077,True,True,False,True,False,True,True,True,2026-04-03,False,,,0,False,low,False,low
C000078,True,True,True,True,True,True,True,False,2026-01-03,False,,,0,False,low,False,medium
C000079,False,True,True,True,False,True,True,False,2026-06-15,False,,,0,False,low,False,low
C000080,True,True,True,True,True,True,False,True,2026-06-27,False,,,0,False,low,False,medium
C000081,True,True,False,True,False,False,True,True,2025-10-07,False,,,0,False,low,False,high
C000082,True,True,False,True,False,True,True,True,2025-11-12,False,,,0,False,low,False,medium
C000083,True,False,False,True,False,False,True,False,2026-01-08,False,,,0,False,low,False,medium
C000084,True,True,True,True,False,True,True,False,2025-11-04,False,,,0,False,low,False,low
C000085,False,True,True,True,False,True,True,True,2026-05-19,False,,,0,False,high,True,medium
C000086,True,True,True,True,False,True,True,True,2025-09-25,False,,,0,False,high,False,low
C000087,True,True,False,True,False,True,True,False,2026-06-16,False,,,0,False,low,False,low
C000088,True,False,True,True,True,True,True,False,2026-06-26,False,,,0,False,medium,False,medium
C000089,True,True,True,True,False,True,True,True,2025-11-06,False,,,0,False,medium,False,high
